35.187.118.51,4.02669665597816,20179.0,106340.0,11.748147773499635,45.0,110.0,17.907268106193303
63.143.42.250,3.0692980121155293,6.0,11730.0,9.370416319822818,45.0,110.0,16.668955931563787
40.77.167.6,0.3010299956639812,-2.0,20.0,2.8903717578961645,45.0,110.0,13.24645770185766
46.229.168.140,1.1139433523068367,-3.0,130.0,4.844187086458591,45.0,110.0,14.271857840275487
46.229.168.149,1.3979400086720377,-6.0,260.0,5.537334267018537,45.0,110.0,14.634315709409027
46.229.168.153,1.3010299956639813,-3.0,200.0,5.2832037287379885,45.0,110.0,14.50359049019439
91.242.162.66,0.3010299956639812,5.0,20.0,3.2188758248682006,0.0,110.0,7.977859328646474
46.229.168.161,1.0791812460476249,-1.0,130.0,4.859812404361672,45.0,110.0,14.267679335558956
46.229.168.142,1.3222192947339193,-8.0,220.0,5.356586274672012,45.0,110.0,14.539300298288982
46.229.168.141,1.3010299956639813,-5.0,210.0,5.3230099791384085,45.0,110.0,14.519512990354558
46.229.168.150,1.255272505103306,-1.0,180.0,5.187385805840755,45.0,110.0,14.451536073867294
54.36.149.19,0.1,-1.0,10.0,2.1972245773362196,0.0,110.0,11.108889830934487
54.36.150.70,0.1,-1.0,10.0,2.1972245773362196,0.0,110.0,11.108889830934487
54.36.150.48,0.47712125471966244,-3.0,30.0,3.295836866004329,0.0,110.0,11.66147112281763
54.36.149.59,0.1,-1.0,10.0,2.1972245773362196,0.0,110.0,11.108889830934487
54.36.149.7,0.1,-1.0,10.0,2.1972245773362196,0.0,110.0,11.108889830934487
46.229.168.143,1.3222192947339193,-3.0,210.0,5.332718793265369,45.0,110.0,14.529753305726324
46.229.168.146,1.2304489213782739,-3.0,170.0,5.117993812416755,45.0,110.0,14.416332201380184
46.229.168.133,1.3222192947339193,6.0,210.0,5.375278407684165,45.0,110.0,14.546777151493842
54.36.148.214,0.47712125471966244,-3.0,30.0,3.295836866004329,0.0,110.0,11.66147112281763
46.229.168.134,1.255272505103306,2.0,190.0,5.2574953720277815,45.0,110.0,14.479579900342104
207.46.13.26,0.6020599913279624,5.0,40.0,3.8066624897703196,45.0,110.0,13.703282993306516
86.177.248.9,2.2810333672477277,6.0,840.0,6.740519359606223,2.0,110.0,10.220517754016807
157.55.39.143,0.1,-1.0,10.0,2.1972245773362196,45.0,110.0,12.908889830934488
216.244.66.197,1.6434526764861874,7.0,440.0,6.102558594613569,45.0,110.0,14.934059240791285
46.229.168.163,1.2304489213782739,0.0,170.0,5.135798437050262,45.0,110.0,14.423454051233588
54.36.148.238,0.3010299956639812,-2.0,20.0,2.8903717578961645,0.0,110.0,11.446457701857659
